"Product Name","Product Type","SKU","URL","Image","Price","On/Off"
"Female Formula","","IFF","female-formula-2oz","/f/e/female-formula-570_1.jpg","28.0000","Catalog, Search"
"SuperFood Plus ""On-the-GO""","Packets","IGO","superfood-plus-packets","/s/f/sf-packets.jpg","28.0000","Catalog, Search"
"Heart Formula","","IHF","heart-formula-1","/h/e/heart-formula-570_1.jpg","28.0000","Catalog, Search"
"HerbalMucil Plus","Powder","IHM","herbalmucil-plus-powder","/h/e/herbalmucil-plus-570_1.jpg","26.0000","Catalog, Search"
"Intestinal Formula #1","","II1","intestinal-formula-1-90caps","/i/f/if_1-90ct-570.jpg_1.jpg","26.0000","Catalog, Search"
"Intestinal Formula #1 ""Large Size""","","II1L","intestinal-formula-1-250caps","/i/f/if_1-250ct-570_1.jpg","58.0000","Catalog, Search"
"Intestinal Formula #1 - MAX","Capsules","II1M","intestinal-formula-1-max","/i/f/if_1-max-570_1.jpg","24.0000","Catalog, Search"
"Intestinal Formula #2","Capsules","II2C","intestinal-formula-2-capsules","/i/f/if_2-capsules-570_1.jpg","30.0000","Catalog, Search"
"Intestinal Formula #2","Packets","II2PK","intestinal-formula-2-packets","/i/f/if_2-packets-570_1.jpg","30.0000","Catalog, Search"
"Intestinal Formula #2","Powder","II2PW","intestinal-formula-2-powder","/i/f/if_2-powder-570_1.jpg","24.0000","Catalog, Search"
"Intestinal Formula #3","","II3","intestinal-formula-3","/i/f/if_3_570_1.jpg","22.0000","Catalog, Search"
"Jojoba & Tea Tree Oil","","IJO","jojoba-tea-tree-oil","/j/o/jojoba-_-tea-tree-oil-570_1.jpg","15.0000","Catalog, Search"
"Jojoba & Tea Tree Ointment","","IJOO","jojoba-tea-tree-ointment","/j/o/jojoba-_-tea-tree-ointment-570_1.jpg","15.0000","Catalog, Search"
"K-B Formula","","IKF","k-b-formula-kidney-bladder","/k/b/kb-formula-570_1.jpg","28.0000","Catalog, Search"
"K-B Tea","","IKT","k-b-tea-kidney-bladder","/k/b/kb-tea-570_1.jpg","20.0000","Catalog, Search"
"L-GB Formula","","ILF","l-gb-formula-liver-gallbladder","/l/g/lgb-formula-570_1.jpg","28.0000","Catalog, Search"
"Lung Tonic","","ILU","lung-tonic","/l/u/lung-tonic-570_1.jpg","28.0000","Catalog"
"Male Formula","","IMF","male-formula","/m/a/male-formula-570_1.jpg","30.0000","Catalog, Search"
"Nerve Formula","","INF","nerve-formula","/n/e/nerve-formula-570_1.jpg","28.0000","Catalog, Search"
"Daily Oral Therapy","","IOT","daily-oral-therapy","/d/a/daily-oral-therapy-570_1.jpg","32.0000","Catalog"
"Prostate Formula","","IPF","prostate-formula","/p/r/prostate-570_1.jpg","28.0000","Catalog, Search"
"PROTECT Formula","","IPR","protect-formula-60-capsules","/p/r/protect-formula_60-570_1.jpg","36.0000","Catalog"
"PROTECT Formula ""Large Size""","","IPRL","protect-formula-120-capsules","/p/r/protect-formula_120-570_2.jpg","64.0000","Catalog"
"Super-C Plus","Powder","ISCBP","super-c-plus-powder","/s/u/super-c-powder-570_2.jpg","24.0000","Catalog"
"Super-C Plus","Tablets","ISCT","super-c-plus-tablets","/s/u/super-c-tablets-570_2.jpg","28.0000","Catalog"
"SuperFood Plus","Powder","ISF","superfood-plus-powder","/s/u/superfood-powder_570_2.jpg","42.0000","Catalog"
"SuperFood 100","","ISF100","superfood-100-90-tablets","/s/u/superfood-100-90ct_570_3.jpg","34.0000","Catalog, Search"
"SuperFood 100 ""Large Size""","","ISF100L","superfood-100-270-tablets","/s/u/superfood-100-270ct_570_3.jpg","90.0000","Catalog, Search"
"SuperFood Bar","","ISFB","superfood-bar","/s/u/superfood-bar_orig-570_2.jpg","3.5000","Catalog, Search"
"SuperFood CRUNCH Bar","","ISFBCR","superfood-bar-crunch","/s/u/superfood-bar-aplcin-570_1_1.jpg","3.5000","Catalog, Search"
"SuperFood Plus","","ISFTAB","superfood-plus-tablets","/s/u/superfood-tablets_570_2.jpg","48.0000","Catalog"
"Super Ginseng","","ISG","super-ginseng","/s/u/super-ginseng-570_1.jpg","32.0000","Catalog, Search"
"100% Herbal SuperSlim Formula","Packets","ISLPKTS","100-herbal-superslim-formula-packets","/s/u/superslim-packets-box_1.jpg","94.0000","Catalog, Search"
"SuperTonic","","IST","super-tonic","/s/u/supertonic-570_1.jpg","24.0000","Catalog, Search"
"Tooth & Gum Formula","","ITG","tooth-gum-formula","/t/o/tooth-_-gum-570_1.jpg","20.0000","Catalog, Search"
"Throat & Tonsil Formula","","ITT","throat-tonsil-tincture","/t/h/throat-_-tonsil-formula-570_1.jpg","24.0000","Catalog, Search"
"Throat & Tonsil Spray","","ITTS","throat-tonsil-spray","/t/h/throat-_-tonsil-spray-570_1.jpg","15.0000","Catalog, Search"
"30-Day DETOX","Capsules","K30C","30-day-detox-program-capsules","/3/0/30-day_detox.jpg","408.0000","Search"
"30-Day DETOX","Mixed","K30M","30-day-detox-program-mixed","/3/0/30-day_detox_1.jpg","408.0000","Search"
"30-Day DETOX ","Packets","K30P","30-day-detox-program-packets","/3/0/30-day_detox_2.jpg","408.0000","Search"
"5-Day BOWEL Detox","Capsules","KBDC","5-day-bowel-detox-program-capsules","/b/o/bowel-detox-kit-570_3.jpg","68.0000","Catalog"
"5-Day BOWEL Detox - Packets","Packets","SBDP10","5-day-bowel-detox-program-packets","/b/o/bowel-detox-kit-570_2.jpg","61.0000","Catalog, Search"
"Bowel Flush ""SHOT""","","KBFS3","bowel-flush-shot-3-pack","/b/o/bowel-flush-shot-box-570_1.jpg","42.0000","Search"
